Date,Open,High,Low,Close,Adj Close,Volume
17/05/2021,46415.89844,46623.55859,42207.28906,43537.51172,43537.51172,74903638450
18/05/2021,43488.05859,45812.45703,42367.83203,42909.40234,42909.40234,56187365084
19/05/2021,42944.97656,43546.11719,30681.49609,37002.44141,37002.44141,1.26358E+11
20/05/2021,36753.66797,42462.98438,35050.61719,40782.73828,40782.73828,88281943359
21/05/2021,40596.94922,42172.17188,33616.45313,37304.69141,37304.69141,82051616861
22/05/2021,37371.03125,38831.05469,35383.68359,37536.63281,37536.63281,57377273240
23/05/2021,37531.44922,38289.21875,31227.33984,34770.58203,34770.58203,78469274361
